conn_name,type_name,zone_loc,section,coords,,,,,,,
1,sheetingcorner,A1,0,0,0,0.45,0,0.45,0.45,0,0.45
2,sheetinggable,A2,0,0,0.45,0.45,0.45,0.45,1.35,0,1.35
3,sheetinggable,A3,0,0,1.35,0.45,1.35,0.45,2.25,0,2.25
4,sheetinggable,A4,0,0,2.25,0.45,2.25,0.45,3.15,0,3.15
5,sheetinggable,A5,0,0,3.15,0.45,3.15,0.45,4.05,0,4.05
6,sheetingcorner,A6,0,0,4.05,0.45,4.05,0.45,4.5,0,4.5
7,sheetingcorner,A7,1,0,4.5,0.45,4.5,0.45,4.95,0,4.95
8,sheetinggable,A8,1,0,4.95,0.45,4.95,0.45,5.85,0,5.85
9,sheetinggable,A9,1,0,5.85,0.45,5.85,0.45,6.75,0,6.75
10,sheetinggable,A10,1,0,6.75,0.45,6.75,0.45,7.65,0,7.65
11,sheetinggable,A11,1,0,7.65,0.45,7.65,0.45,8.55,0,8.55
12,sheetingcorner,A12,1,0,8.55,0.45,8.55,0.45,9,0,9
13,sheetingeave,B1,0,0.45,0,1.35,0,1.35,0.45,0.45,0.45
14,sheeting,B2,0,0.45,0.45,1.35,0.45,1.35,1.35,0.45,1.35
15,sheeting,B3,0,0.45,1.35,1.35,1.35,1.35,2.25,0.45,2.25
16,sheeting,B4,0,0.45,2.25,1.35,2.25,1.35,3.15,0.45,3.15
17,sheeting,B5,0,0.45,3.15,1.35,3.15,1.35,4.05,0.45,4.05
18,sheetingeave,B6,0,0.45,4.05,1.35,4.05,1.35,4.5,0.45,4.5
19,sheetingeave,B7,1,0.45,4.5,1.35,4.5,1.35,4.95,0.45,4.95
20,sheeting,B8,1,0.45,4.95,1.35,4.95,1.35,5.85,0.45,5.85
21,sheeting,B9,1,0.45,5.85,1.35,5.85,1.35,6.75,0.45,6.75
22,sheeting,B10,1,0.45,6.75,1.35,6.75,1.35,7.65,0.45,7.65
23,sheeting,B11,1,0.45,7.65,1.35,7.65,1.35,8.55,0.45,8.55
24,sheetingeave,B12,1,0.45,8.55,1.35,8.55,1.35,9,0.45,9
25,sheetingeave,C1,0,1.35,0,2.25,0,2.25,0.45,1.35,0.45
26,sheeting,C2,0,1.35,0.45,2.25,0.45,2.25,1.35,1.35,1.35
27,sheeting,C3,0,1.35,1.35,2.25,1.35,2.25,2.25,1.35,2.25
28,sheeting,C4,0,1.35,2.25,2.25,2.25,2.25,3.15,1.35,3.15
29,sheetingeave,C5,0,1.35,3.15,2.25,3.15,2.25,4.05,1.35,4.05
30,sheetingeave,C6,0,1.35,4.05,2.25,4.05,2.25,4.5,1.35,4.5
31,sheeting,C7,1,1.35,4.5,2.25,4.5,2.25,4.95,1.35,4.95
32,sheeting,C8,1,1.35,4.95,2.25,4.95,2.25,5.85,1.35,5.85
33,sheeting,C9,1,1.35,5.85,2.25,5.85,2.25,6.75,1.35,6.75
34,sheeting,C10,1,1.35,6.75,2.25,6.75,2.25,7.65,1.35,7.65
35,sheeting,C11,1,1.35,7.65,2.25,7.65,2.25,8.55,1.35,8.55
36,sheetingeave,C12,1,1.35,8.55,2.25,8.55,2.25,9,1.35,9
37,sheetingeave,D1,0,2.25,0,3.15,0,3.15,0.45,2.25,0.45
38,sheeting,D2,0,2.25,0.45,3.15,0.45,3.15,1.35,2.25,1.35
39,sheeting,D3,0,2.25,1.35,3.15,1.35,3.15,2.25,2.25,2.25
40,sheeting,D4,0,2.25,2.25,3.15,2.25,3.15,3.15,2.25,3.15
41,sheeting,D5,0,2.25,3.15,3.15,3.15,3.15,4.05,2.25,4.05
42,sheetingeave,D6,0,2.25,4.05,3.15,4.05,3.15,4.5,2.25,4.5
43,sheetingeave,D7,1,2.25,4.5,3.15,4.5,3.15,4.95,2.25,4.95
44,sheeting,D8,1,2.25,4.95,3.15,4.95,3.15,5.85,2.25,5.85
45,sheeting,D9,1,2.25,5.85,3.15,5.85,3.15,6.75,2.25,6.75
46,sheeting,D10,1,2.25,6.75,3.15,6.75,3.15,7.65,2.25,7.65
47,sheeting,D11,1,2.25,7.65,3.15,7.65,3.15,8.55,2.25,8.55
48,sheetingeave,D12,1,2.25,8.55,3.15,8.55,3.15,9,2.25,9
49,sheetingeave,E1,0,3.15,0,4.05,0,4.05,0.45,3.15,0.45
50,sheeting,E2,0,3.15,0.45,4.05,0.45,4.05,1.35,3.15,1.35
51,sheeting,E3,0,3.15,1.35,4.05,1.35,4.05,2.25,3.15,2.25
52,sheeting,E4,0,3.15,2.25,4.05,2.25,4.05,3.15,3.15,3.15
53,sheeting,E5,0,3.15,3.15,4.05,3.15,4.05,4.05,3.15,4.05
54,sheetingeave,E6,0,3.15,4.05,4.05,4.05,4.05,4.5,3.15,4.5
55,sheetingeave,E7,1,3.15,4.5,4.05,4.5,4.05,4.95,3.15,4.95
56,sheeting,E8,1,3.15,4.95,4.05,4.95,4.05,5.85,3.15,5.85
57,sheeting,E9,1,3.15,5.85,4.05,5.85,4.05,6.75,3.15,6.75
58,sheeting,E10,1,3.15,6.75,4.05,6.75,4.05,7.65,3.15,7.65
59,sheeting,E11,1,3.15,7.65,4.05,7.65,4.05,8.55,3.15,8.55
60,sheetingeave,E12,1,3.15,8.55,4.05,8.55,4.05,9,3.15,9
61,sheetingeave,F1,0,4.05,0,5.2,0,5.2,0.45,4.05,0.45
62,sheeting,F2,0,4.05,0.45,5.2,0.45,5.2,1.35,4.05,1.35
63,sheeting,F3,0,4.05,1.35,5.2,1.35,5.2,2.25,4.05,2.25
64,sheeting,F4,0,4.05,2.25,5.2,2.25,5.2,3.15,4.05,3.15
65,sheeting,F5,0,4.05,3.15,5.2,3.15,5.2,4.05,4.05,4.05
66,sheetingeave,F6,0,4.05,4.05,5.2,4.05,5.2,4.5,4.05,4.5
67,sheetingeave,F7,1,4.05,4.5,5.2,4.5,5.2,4.95,4.05,4.95
68,sheeting,F8,1,4.05,4.95,5.2,4.95,5.2,5.85,4.05,5.85
69,sheeting,F9,1,4.05,5.85,5.2,5.85,5.2,6.75,4.05,6.75
70,sheeting,F10,1,4.05,6.75,5.2,6.75,5.2,7.65,4.05,7.65
71,sheeting,F11,1,4.05,7.65,5.2,7.65,5.2,8.55,4.05,8.55
72,sheetingeave,F12,1,4.05,8.55,5.2,8.55,5.2,9,4.05,9
73,sheetingeave,G1,0,4.95,0,5.85,0,5.85,0.45,4.95,0.45
74,sheeting,G2,0,4.95,0.45,5.85,0.45,5.85,1.35,4.95,1.35
75,sheeting,G3,0,4.95,1.35,5.85,1.35,5.85,2.25,4.95,2.25
76,sheeting,G4,0,4.95,2.25,5.85,2.25,5.85,3.15,4.95,3.15
77,sheetingeave,G5,0,4.95,3.15,5.85,3.15,5.85,4.05,4.95,4.05
78,sheetingeave,G6,0,4.95,4.05,5.85,4.05,5.85,4.5,4.95,4.5
79,sheeting,G7,1,4.95,4.5,5.85,4.5,5.85,4.95,4.95,4.95
80,sheeting,G8,1,4.95,4.95,5.85,4.95,5.85,5.85,4.95,5.85
81,sheeting,G9,1,4.95,5.85,5.85,5.85,5.85,6.75,4.95,6.75
82,sheeting,G10,1,4.95,6.75,5.85,6.75,5.85,7.65,4.95,7.65
83,sheeting,G11,1,4.95,7.65,5.85,7.65,5.85,8.55,4.95,8.55
84,sheetingeave,G12,1,4.95,8.55,5.85,8.55,5.85,9,4.95,9
85,sheetingeave,H1,0,5.85,0,6.75,0,6.75,0.45,5.85,0.45
86,sheeting,H2,0,5.85,0.45,6.75,0.45,6.75,1.35,5.85,1.35
87,sheeting,H3,0,5.85,1.35,6.75,1.35,6.75,2.25,5.85,2.25
88,sheeting,H4,0,5.85,2.25,6.75,2.25,6.75,3.15,5.85,3.15
89,sheeting,H5,0,5.85,3.15,6.75,3.15,6.75,4.05,5.85,4.05
90,sheetingeave,H6,0,5.85,4.05,6.75,4.05,6.75,4.5,5.85,4.5
91,sheetingeave,H7,1,5.85,4.5,6.75,4.5,6.75,4.95,5.85,4.95
92,sheeting,H8,1,5.85,4.95,6.75,4.95,6.75,5.85,5.85,5.85
93,sheeting,H9,1,5.85,5.85,6.75,5.85,6.75,6.75,5.85,6.75
94,sheeting,H10,1,5.85,6.75,6.75,6.75,6.75,7.65,5.85,7.65
95,sheeting,H11,1,5.85,7.65,6.75,7.65,6.75,8.55,5.85,8.55
96,sheetingeave,H12,1,5.85,8.55,6.75,8.55,6.75,9,5.85,9
97,sheetingeave,I1,0,6.75,0,7.65,0,7.65,0.45,6.75,0.45
98,sheeting,I2,0,6.75,0.45,7.65,0.45,7.65,1.35,6.75,1.35
99,sheeting,I3,0,6.75,1.35,7.65,1.35,7.65,2.25,6.75,2.25
100,sheeting,I4,0,6.75,2.25,7.65,2.25,7.65,3.15,6.75,3.15
101,sheeting,I5,0,6.75,3.15,7.65,3.15,7.65,4.05,6.75,4.05
102,sheetingeave,I6,0,6.75,4.05,7.65,4.05,7.65,4.5,6.75,4.5
