type_name,strength_mean,strength_std,dead_load_mean,dead_load_std,group_name,costing_area
sheetinggable,1.54,0.16334,0.02025,0.0246,sheeting,0.405
sheetingeave,4.62,0.28292,0.02025,0.0246,sheeting,0.405
sheetingcorner,2.31,0.2,0.01013,0.0246,sheeting,0.225
sheeting,2.695,0.21608,0.0405,0.0246,sheeting,0.81
batten,3.6,1.26,0.089,0.0708,batten,0.81
battenend,3.6,1.26,0.089,0.0708,batten,0.405
batteneave,3.6,1.26,0.089,0.0708,batten,0.405
battencorner,3.6,1.26,0.089,0.0708,batten,0.225
endraftertopplate,19.5,5.85,0.84,0.063,rafter,1.238
endrafterridge,16.5,4.95,1.8,0.135,rafter,1.665
collarraftertopplate,19.5,5.85,1.68,0.126,rafter,1.845
collarrafterridge,16.5,4.95,1.13,0.08475,rafter,1.26
collarraftercollar,2.4,0.48,3.95,0.29625,rafter,1.665
plainraftertopplate,19.5,5.85,1.68,0.126,rafter,2.475
plainrafterridge,16.5,4.95,3.6,0.27,rafter,3.33
weakbatten,3.6,1.26,0.089,0.0708,batten,0.81
